Nido,Numero frequentanti,Percentuale frequentanti
Asilo Nido Comunale Arcobaleno,64,17.34
Asilo Nido Comunale Arca di Noé,72,19.51
Asilo Nido Convenzionato Il Ritrovo,43,11.65
Asilo Nido Convenzionato Nido dei Passeri,23,6.23
Asilo Nido Convenzionato Primi Amici,24,6.5
Asilo Nido Convenzionato Trottola ,20,5.42
Asilo Nido Convenzionato Rosabosco,19,5.15
Asilo Nido Non Convenzionato Mamimondo,26,7.05
Asilo Nido Non Convenzionato La Mongolfiera,22,5.96
Asilo Nido Non Convenzionato Piccoli Passi,56,15.18
