Quartiere,Eta 0-2 anni,Eta 3-5 anni,Eta 6-9 anni,Eta 10-13 anni,Eta 14-17 anni,Numero totale,Percentuale 0-2 anni,Percentuale 3-5 anni,Percentuale 6-9 anni,Percentuale 10-13 anni,Percentuale 14-17 anni
ACQUATE,70,76,114,128,150,538,13.01,14.13,21.19,23.79,27.88
BELLEDO,45,46,75,96,121,383,11.75,12.01,19.58,25.07,31.59
BONACINA,21,20,23,32,54,150,14.0,13.33,15.33,21.33,36.0
CALEOTTO,43,55,92,105,84,379,11.35,14.51,24.27,27.7,22.16
CASTELLO,91,88,144,177,199,699,13.02,12.59,20.6,25.32,28.47
CHIUSO,42,47,68,71,80,308,13.64,15.26,22.08,23.05,25.97
GERMANEDO,76,85,110,148,175,594,12.79,14.31,18.52,24.92,29.46
LAORCA,30,29,29,46,50,184,16.3,15.76,15.76,25.0,27.17
LECCO CENTRO,118,132,172,182,218,822,14.36,16.06,20.92,22.14,26.52
MAGGIANICO,41,57,83,87,115,383,10.7,14.88,21.67,22.72,30.03
OLATE,46,44,53,69,106,318,14.47,13.84,16.67,21.7,33.33
PESCARENICO,47,40,70,94,112,363,12.95,11.02,19.28,25.9,30.85
RANCIO,27,32,61,71,86,277,9.75,11.55,22.02,25.63,31.05
SANTO STEFANO,92,91,150,172,189,694,13.26,13.11,21.61,24.78,27.23
SAN GIOVANNI,68,68,98,122,126,482,14.11,14.11,20.33,25.31,26.14
