TIPOLOGIA,PLESSO,N. SEZIONI,N. ISCRITTI,Percentuale
Scuola primaria ,E. DE AMICIS,5,93,6.64
Scuola primaria ,S. STEFANO,10,177,12.64
Scuola primaria ,E. TOTI,5,98,7.0
Scuola primaria ,TORRI TARELLI,5,84,6.0
Scuola primaria ,G. CARDUCCI,10,174,12.43
Scuola primaria ,A. DIAZ,8,164,11.71
Scuola primaria ,C. BATTISTI,10,219,15.64
Scuola primaria ,G. OBERDAN,9,201,14.36
Scuola primaria ,N. SAURO,5,92,6.57
Scuola primaria ,SILVIO PELLICO,5,86,6.14
Scuola primaria ,LA NS. FAMIGLIA,5,12,0.86
