Quartiere,Solo un componente 0-17 anni,Solo un componente 18-64 anni,Solo un componente sopra 65 anni,Percentuale 0-17 anni,Percentuale 18-64 anni,Percentuale sopra 65 anni
ACQUATE,0,340,267,0.0,6.4,6.42
BELLEDO,0,233,224,0.0,4.39,5.38
BONACINA,0,86,85,0.0,1.62,2.04
CALEOTTO,0,230,146,0.0,4.33,3.51
CASTELLO,0,610,462,0.0,11.48,11.1
CHIUSO,0,127,144,0.0,2.39,3.46
GERMANEDO,0,359,311,0.0,6.76,7.47
LAORCA,0,157,125,0.0,2.96,3.0
LECCO CENTRO,3,1108,652,100.0,20.85,15.67
MAGGIANICO,0,237,269,0.0,4.46,6.46
OLATE,0,220,170,0.0,4.14,4.08
PESCARENICO,0,469,227,0.0,8.83,5.45
RANCIO,0,252,169,0.0,4.74,4.06
SANTO STEFANO,0,569,608,0.0,10.71,14.61
SAN GIOVANNI,0,302,301,0.0,5.68,7.23
